celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,avg_judge_score
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,Eliminated Week 3,11,8,7,8,N/A,7,7,7,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.5556
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,Eliminated Week 4,10,8,7,8,N/A,8,7,8,N/A,8,8,8,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.5833
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,Eliminated Week 7,7,9,8,9,N/A,7,7,8,N/A,9,8,8,N/A,8,7,7,N/A,8,8,8,N/A,12.6666,11.6666,12.6666,N/A,9,8,8.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.6428
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,Eliminated Week 8,6,8,7,8,N/A,9,8,9,N/A,8,8,9,N/A,9,8,9,N/A,9,8,9,N/A,8.6666,9.6666,9.6666,N/A,9.5,8,8.5,N/A,9.5,9,9.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.6667
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,Eliminated Week 8,5,7,6,7,N/A,7,6,7,N/A,8,8,8,N/A,7,8,7,N/A,7,7,7,N/A,10,10,10,N/A,8,7.5,8,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.7500
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,Eliminated Week 2,12,7,6,7,N/A,6,5,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.1667
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1st Place,1,7,7,7,N/A,8,8,8,N/A,9,8,9,N/A,9,9,9,N/A,10,8,9,N/A,11.3333,11.3333,11.3333,N/A,9,8.5,9,N/A,9.5,9,9,N/A,9.5,9,10,N/A,10,9.6666,10,N/A,N/A,N/A,N/A,N/A,9.0389
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,Eliminated Week 5,9,7,6,7,N/A,7,7,7,N/A,8,8,8,N/A,8,8,7,N/A,6,6,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.1333
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,Eliminated Week 6,8,8,7,8,N/A,7,5,7,N/A,8,8,8,N/A,7,6,7,N/A,7,7,8,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.3333
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2nd Place,2,9,8,9,N/A,9,8,9,N/A,10,9,10,N/A,8,8,8,N/A,10,9,10,N/A,13.3333,12.3333,13.3333,N/A,9.5,8.5,9,N/A,9,9,9.5,N/A,9.5,9,9.5,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A,9.5167
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,Eliminated Week 9,4,7,7,7,N/A,8,8,9,N/A,9,9,9,N/A,9,8,9,N/A,9,9,9,N/A,9.3333,10.3333,10.3333,N/A,10,9,9.5,N/A,9.5,7.5,9.5,N/A,10,9.5,10,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.9074
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,Eliminated Week 8,6,8,8,8,N/A,8.5,8.5,8.5,N/A,8.5,8.5,8.5,N/A,10,9.5,10,10,9.5,9.25,9.5,N/A,9,9,9.5,N/A,11.1666,11.1666,11.1666,N/A,9.5,10,9.7777,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,9.3211
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,Eliminated Week 6,8,7.5,7.5,7.5,N/A,9,8.5,8.5,N/A,8.5,8.5,8.5,N/A,9,9,8.5,9,9.75,9.75,9.75,N/A,10,10,10,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.8816
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,Eliminated Week 8,7,6.5,6,6.5,N/A,7,7,7,N/A,8,8,8,N/A,7.5,7.5,7.5,7.5,8.75,8.75,8.75,N/A,9.5,8.5,9.5,N/A,9.3333,9.3333,9.3333,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.0500
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3rd Place,3,7,7,7.5,N/A,7.5,7,7.5,N/A,9,9,9,N/A,9,9.5,9.5,9.5,8.5,8.5,8.75,N/A,9,9,9,N/A,12,12,12,N/A,9.5,9.3333,9.5,N/A,8.7777,9.3333,9,N/A,9.6666,9.6666,9.7777,N/A,N/A,N/A,N/A,N/A,9.0744
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,Eliminated Week 9,5,7.5,7,7.5,N/A,8.5,8,8,N/A,9,8,8.5,N/A,8.5,9,8.5,8.5,9,9.75,9.5,N/A,10,10,10,N/A,11,11,11,N/A,9.7777,9.5,10,N/A,9.3333,9.5,9.7777,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,9.1300
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,Eliminated Week 9,4,8,8.5,8,N/A,7.5,7.5,7.5,N/A,8.5,8,8.5,N/A,9,9,9,9,9.25,9.25,9.5,N/A,8.5,8.5,9.5,N/A,10.8333,11.8333,11.8333,N/A,9.5,9.7777,9.7777,N/A,9,9,9,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,9.0377
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2nd Place,2,8,6.5,7.5,N/A,8.5,8,8.5,N/A,9,8,9.5,N/A,10,9.5,10,10,9.25,9,10,N/A,9.5,8.5,10,N/A,12.6666,12.6666,12.6666,N/A,10,8.3333,9.5,N/A,9.5,10,10,N/A,9.6666,9.5,9.7777,N/A,N/A,N/A,N/A,N/A,9.4686
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,Eliminated Week 1,13,5.5,5.5,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.6667
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,Eliminated Week 3,10,7,7.5,7,N/A,8,7.5,7.5,N/A,8.5,8.5,8.5,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.7778
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,Eliminated Week 2,12,6.5,7,7,N/A,7.5,7.5,7.5,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.1667
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,Eliminated Week 3,11,7,7,7.5,N/A,7.5,7.5,7.5,N/A,8,8,8,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.5556
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,Eliminated Week 4,9,6.5,6.5,6.5,N/A,6,6,6,N/A,7.5,7.5,7.5,N/A,8,8,8,8,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.0769
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1st Place,1,7,7,7,N/A,8,8,7.5,N/A,9,9,9,N/A,9,9,9.5,9.5,9.25,9.5,9.5,N/A,9.5,10,10,N/A,13.3333,12.8333,12.8333,N/A,10,10,10,N/A,9.5,9.7777,9.5,N/A,9.7777,9.7777,9.7777,N/A,N/A,N/A,N/A,N/A,9.4632
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,Eliminated Week 9,5,7,6,7,N/A,6,7,7,N/A,7,7,7,N/A,8,7,8,N/A,7,7,7,N/A,7.5,8,7.5,N/A,8,9,8,N/A,8,8,8,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.5000
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2nd Place,2,8,8,8,N/A,9,8,9,N/A,8.6666,8.6666,8.6666,N/A,9,8,9,N/A,10,9,10,N/A,8.5,8.5,8.5,N/A,10,10,10,N/A,9.5,10,9.5,N/A,9,9,9.5,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A,9.1000
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,Withdrew,12,7,7,7,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.0000
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,Eliminated Week 6,8,6,6,6,N/A,6,6,6,N/A,8,7,8,N/A,6,6,6,N/A,7,7,7,N/A,6.5,7,6.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.5556
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,Eliminated Week 10,4,7,7,7,N/A,8,8,8,N/A,7,8,8,N/A,9,9,9,N/A,8,8,9,N/A,8.5,9,8.5,N/A,11,10,11,N/A,9,9.5,9.5,N/A,10,9.5,10,N/A,9.5,9.5,10,N/A,N/A,N/A,N/A,N/A,8.8167
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3rd Place,3,7,6,7,N/A,8,7,8,N/A,8.6666,8.6666,8.6666,N/A,8,8,8,N/A,9,8,9,N/A,7.5,7.5,7.5,N/A,9,9,9,N/A,8.5,9,8.5,N/A,10,9.5,10,N/A,9.3333,9.3333,9.3333,N/A,N/A,N/A,N/A,N/A,8.4000
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,Eliminated Week 5,9,4,4,4,N/A,5,5,6,N/A,6,5,5,N/A,7,7,7,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.5333
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,Eliminated Week 7,7,6,5,6,N/A,7,6,7,N/A,6,6,6,N/A,7,7,7,N/A,6,6,6,N/A,7,7.5,7,N/A,5,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.3095
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,Eliminated Week 3,11,6,6,6,N/A,6,6,6,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.6667
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1st Place,1,7,7,7,N/A,9,8,9,N/A,8,9,8,N/A,9,8,9,N/A,9,9,9,N/A,8.5,9.5,9,N/A,9,10,10,N/A,9.5,8,10,N/A,9.5,10,9.5,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A,8.9167
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,Eliminated Week 4,10,6,6,6,N/A,6,6,6,N/A,7,7,7,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.2500
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,Eliminated Week 8,6,7,6,6,N/A,7,6,7,N/A,7,7,7,N/A,6,7,7,N/A,8,8,8,N/A,7.5,8,7.5,N/A,8,8,8,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.1667
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,Eliminated Week 4,10,7,7,7,N/A,6,6,7,N/A,6,5,5,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,6.1667
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,Eliminated Week 8,7,7,8,7,N/A,8,7,8,N/A,9,9,9,N/A,7,7,7,N/A,9,9,9,N/A,10,11,10,N/A,9.5,9.5,9.5,N/A,9,9,9,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,8.6042
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,Eliminated Week 9,6,8,8,8,N/A,8,9,8,N/A,8,9,8,N/A,9,9,9,N/A,8,9,9,N/A,10.6666,10.6666,10.6666,N/A,9,9,9,N/A,8,9,8,N/A,9.5,9,9.5,N/A,0,0,0,0,0,0,0,N/A,8.8518
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,Eliminated Week 10,5,7,7,7,N/A,8,8,8,N/A,8,8,8,N/A,8,8,8,N/A,7,7,8,N/A,9.3333,9.3333,9.3333,N/A,9,8.5,9,N/A,9,10,9,N/A,9,9,9,N/A,8,8,8,8.5,0,0,0,N/A,8.2903
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2nd Place,2,8,8,8,N/A,9,8,9,N/A,9,8,9,N/A,9,9,9,N/A,9,9,10,N/A,9.3333,8.3333,9.3333,N/A,10,9.5,10,N/A,10,10,10,N/A,9.5,9.5,10,N/A,9.5,9,9.5,9.5,9.8888,9.8888,9.8888,N/A,9.2255
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1st Place,1,9,9,9,N/A,8,8,8,N/A,8,8,8,N/A,9,9,9,N/A,9,7,10,N/A,11.3333,9.3333,11.3333,N/A,10,10,9.5,N/A,9,9,10,N/A,8.5,8.5,8.5,N/A,10,10,9.5,10,10.4444,10.4444,10.4444,N/A,9.2304
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,Eliminated Week 2,12,6,5,6,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,5.8333
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,Eliminated Week 11,4,6,6,6,N/A,7,7,7,N/A,8,8,8,N/A,7,7,7,N/A,8,8,8,N/A,8.3333,8.3333,7.3333,N/A,8.5,8,8.5,N/A,8,8,8,N/A,7,7,7,N/A,7.5,7.5,7.5,7.5,8.3333,8.8333,8.3333,N/A,7.5735
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,Eliminated Week 5,9,7,7,8,N/A,9,8,8,N/A,9,8,9,N/A,8,8,8,N/A,9,10,9,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,8.3333
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,Eliminated Week 7,8,8,8,7,N/A,6,7,7,N/A,9,8,8,N/A,8,8,8,N/A,9,9,9,N/A,10,10,10,N/A,9,9,9,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,8.3810
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3rd Place,3,8,8,7,N/A,8,8,8,N/A,7,7,8,N/A,8,8,8,N/A,9,9,9,N/A,8.6666,9.6666,8.6666,N/A,10,9,9.5,N/A,10,10,10,N/A,9,9,9,N/A,9,8.5,9,9,9.3333,9.3333,9.3333,N/A,8.7059
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,Eliminated Week 3,11,5,4,5,N/A,6,5,6,N/A,6,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,5.2222
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,Withdrew,10,5,5,5,N/A,5,5,5,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,5.0000
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,Eliminated Week 8,6,8,8,8,N/A,8,8,8,N/A,9,9,9,9,8,8,8,8,10,9,10,10,9,9,9,9,9,9.5,8.5,9,10,9,9,10,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,8.8333
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,Eliminated Week 10,4,7,7,7,N/A,9,8,8,N/A,9,9,9,9,9,8,9,9,10,10,10,10,9,9,8,9,8.5,9.5,8,9,8,9,10,9,9.5,9.5,9.5,9.5,9.5,9.5,10,N/A,N/A,N/A,N/A,N/A,8.9189
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3rd Place,3,9,8,8,N/A,7,7,7,N/A,8,8,8,8,7,7,7,7,8,9,9,9,8,8,8,8,9,9.5,9,9.5,9,9,9,9,8.5,9.5,9.5,8.5,8.6666,8.6666,8.6666,N/A,N/A,N/A,N/A,N/A,8.3243
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,Eliminated Week 2,11,7,6,7,N/A,7,7,7,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,6.8333
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,Eliminated Week 2,12,6,6,6,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,6.0000
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,Eliminated Week 9,5,9,9,9,N/A,9,7,9,N/A,9,9,9,9,7,8,9,9,9,10,9,9,9,9,9,9,8.5,10,8,9,10,10,10,10,9.5,9.5,9.5,9.5,0,0,0,N/A,N/A,N/A,N/A,N/A,9.0441
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2nd Place,2,8,8,8,N/A,8,8,8,N/A,9,9,9,9,9,8,8,9,9,9,10,9,9,10,9,10,9.5,9.5,9,9.5,10,10,10,10,9.5,9.5,10,10,10,9.6666,10,N/A,N/A,N/A,N/A,N/A,9.1667
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1st Place,1,8,8,8,N/A,8,9,8,N/A,10,9,10,10,10,9,10,10,9,9,9,9,10,10,10,10,10,10,9,10,9,9,8,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A,N/A,9.4054
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,Eliminated Week 6,8,7,7,7,N/A,7,7,7,N/A,7,7,8,8,8,8,9,8,7,7,7,7,8,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,7.5000
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,Eliminated Week 5,9,7,7,8,N/A,7,7,8,N/A,9,8,9,9,8,7,8,8,9,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,8.0000
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,Eliminated Week 7,7,7,7,7,N/A,7,7,7,N/A,8,7,8,8,8,8,8,8,9,9,9,9,8,9,8,8,8,9,7.5,8.5,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,7.9615
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,Eliminated Week 7,8,6,6,6,7,8,7,8,8,7,7,7,8,7,7,7,8,8,6,7,7,7,7,7,7,7,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1250
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,Eliminated Week 6,9,8,7,7,8,7,7,8,8,8,8,8,8,6,6,6,6,6,6,6,6,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1667
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,Eliminated Week 9,6,8,8,8,8,9,8,9,9,7,8,8,8,10,10,10,9,9,8,8,9,8,8,8,8,8.5,8.5,9,9,8,8,8,8,8.5,9,8.5,9,0,0,0,0,0,0,0,0,8.4722
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3rd Place,3,7,7,7,8,9,8,8,9,10,10,10,10,9,9,9,9,8,8,8,9,8,7,9,9,8.5,8,8.5,8.5,10.75,10.75,10.75,10.75,9.5,9.5,10,9.5,9.5,9.5,10,10,9.6666,10,9.6666,9.6666,9.0455
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1st Place,1,9,9,9,9,8,8,8,8,8,8,8,8,10,10,10,10,8,9,9,8,10,10,9,10,8.5,8.5,8.5,8.5,10.75,9.75,9.75,10.75,9.5,9.5,9.5,10,9.5,9,9.5,9.5,10,10,10,10,9.1818
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,Eliminated Week 1,13,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5000
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,Eliminated Week 3,11,8,7,8,8,7,7,7,7,7,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0833
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,Eliminated Week 10,5,7,6,7,7,7,7,7,7,8,10,8,8,7,7,7,7,6,6,5,6,7,7,7,7,7.5,7.5,7.5,7.5,6.75,7.75,7.75,6.75,7,7.5,7,7,8,7.5,8,7.5,0,0,0,0,7.1625
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,Eliminated Week 4,10,5,5,5,5,7,7,7,7,7,9,6,7,8,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6250
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,Eliminated Week 8,7,7,6,6,6,6,6,6,6,7,7,7,7,6,6,6,7,5,5,5,5,8,7,8,7,7,7,7,7,6,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6.4062
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,Eliminated Week 2,12,7,7,8,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1250
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,Eliminated Week 11,4,8,8,8,8,8,9,8,8,10,10,10,10,8,8,8,9,8,8,8,8,9,9,9,9,9.5,9,9.5,9.5,9.75,9.75,9.75,10.75,9,9.5,9.5,9,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.0114
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2nd Place,2,8,8,9,9,8,7,8,8,8,8,8,8,9,10,9,9,9,9,9,9,9,10,8,8,7.5,7.5,8,8,9,9,10,10,9,9.5,9,9,9,9.5,9.5,9,10,9.6666,10,9.6666,8.7917
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,Eliminated Week 5,9,6,6,6,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,6.7000
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,Eliminated Week 7,7,6,6,6,7,8,8,8,8,8,8,8,8,10,9,10,10,8,8,9,9,9.5,8.5,9,9.5,9.5,9.5,9.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,8.4821
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2nd Place,2,8,7,8,8,8,8,8,8,9,7,9,9,8,8,9,9,10,9,9,10,10,8.5,9.5,10,9,10,9,9,10,9,10,10,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A,9.0750
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1st Place,1,8,8,8,8,8,8,8,8,8,9,8,8,9,8,9,9,10,9,10,10,9,8.5,8.5,9.5,8.5,9.5,9.5,9.5,10,10,10,10,10,9.5,9.5,10,10,10,10,10,N/A,N/A,N/A,N/A,9.0625
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,Eliminated Week 9,4,7,7,8,8,9,8,8,9,9,8,9,8,9,8,9,10,9,9,10,10,9.5,8.5,9,9.5,10.75,9.75,9.75,10.75,9.5,9.5,9.5,9.5,10,10,10,10,0,0,0,0,N/A,N/A,N/A,N/A,9.0972
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,Eliminated Week 4,10,6,6,7,7,7,7,7,7,6,6,6,6,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,6.7500
